Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
ATP-binding cassette sub-family G member 4 [Tribolium castaneum],Tribolium castaneum,556,556,99%,0.0,93.56,671,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_001813184.1?report=genbank&log$=prottop&blast_rank=1&RID=23U6MCEG016"",""XP_001813184.1"")"
ATP-binding cassette sub-family G member 4 [Tribolium madens],Tribolium madens,552,552,99%,0.0,92.54,671,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_044255746.1?report=genbank&log$=prottop&blast_rank=2&RID=23U6MCEG016"",""XP_044255746.1"")"
hypothetical protein Zmor_024016 [Zophobas morio],Zophobas morio,547,547,99%,0.0,91.53,673,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAJ3646428.1?report=genbank&log$=prottop&blast_rank=3&RID=23U6MCEG016"",""KAJ3646428.1"")"
unnamed protein product [Tenebrio molitor],Tenebrio molitor,543,543,99%,0.0,91.19,669,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1370924.1?report=genbank&log$=prottop&blast_rank=4&RID=23U6MCEG016"",""CAH1370924.1"")"
ATP-binding cassette sub-family G member 4 [Zophobas morio],Zophobas morio,533,533,99%,0.0,89.49,673,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_063912122.1?report=genbank&log$=prottop&blast_rank=5&RID=23U6MCEG016"",""XP_063912122.1"")"
ATP-binding cassette sub-family G member 4 [Tenebrio molitor],Tenebrio molitor,531,531,99%,0.0,89.49,669,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_068908145.1?report=genbank&log$=prottop&blast_rank=6&RID=23U6MCEG016"",""XP_068908145.1"")"
hypothetical protein GEV33_008778 [Tenebrio molitor],Tenebrio molitor,506,506,89%,4e-179,94.27,280,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAH0814012.1?report=genbank&log$=prottop&blast_rank=7&RID=23U6MCEG016"",""KAH0814012.1"")"
hypothetical protein NQ315_007693 [Exocentrus adspersus],Exocentrus adspersus,513,513,99%,6e-176,86.10,675,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAJ8922661.1?report=genbank&log$=prottop&blast_rank=8&RID=23U6MCEG016"",""KAJ8922661.1"")"
unnamed protein product [Acanthoscelides obtectus],Acanthoscelides obtectus,501,501,99%,8e-176,83.39,361,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1957141.1?report=genbank&log$=prottop&blast_rank=9&RID=23U6MCEG016"",""CAH1957141.1"")"
ATP-binding cassette sub-family G member 4 isoform X1 [Anoplophora glabripennis],Anoplophora glabripennis,506,506,99%,2e-172,84.41,725,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_018565251.1?report=genbank&log$=prottop&blast_rank=10&RID=23U6MCEG016"",""XP_018565251.1"")"
unnamed protein product [Callosobruchus maculatus],Callosobruchus maculatus,499,499,99%,4e-172,82.37,571,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/VEN37614.1?report=genbank&log$=prottop&blast_rank=11&RID=23U6MCEG016"",""VEN37614.1"")"
ABC subfamily G member 1 [Rhyzopertha dominica],Rhyzopertha dominica,503,503,100%,8e-172,84.18,693,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAI7815555.1?report=genbank&log$=prottop&blast_rank=12&RID=23U6MCEG016"",""KAI7815555.1"")"
unnamed protein product [Acanthoscelides obtectus],Acanthoscelides obtectus,501,501,99%,3e-171,83.39,674,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAH1957139.1?report=genbank&log$=prottop&blast_rank=13&RID=23U6MCEG016"",""CAH1957139.1"")"
hypothetical protein JTB14_036683 [Gonioctena quinquepunctata],Gonioctena quinquepunctata,496,496,99%,3e-169,83.39,674,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG5883806.1?report=genbank&log$=prottop&blast_rank=14&RID=23U6MCEG016"",""KAG5883806.1"")"
